lob,lob명,청구항목id,청구항목명,단위서비스id,단위서비스명,요금유형코드,기준월,회선수,신규회선수,해지회선수,요청금액,할인금액,청구금액,ARPU,할인율,성장률,계절성_요인,출시월,서비스개월수
MB,모바일,BI0001,5G 프리미엄 월정액,US0001,DATA001,R007,2025-06,2626,145,80,402755158,43772506,354159375,151535.37,11.0,74.9,1.15,2025-02,5
MB,모바일,BI0002,5G 무제한 플러스,US0002,DATA002,R008,2025-06,4229,278,78,628984069,65774880,532178583,141393.58,11.0,76.2,1.15,2025-01,6
MB,모바일,BI0003,5G 비즈니스 프로,US0003,DATA003,R008,2025-06,1704,87,24,330316682,35638459,288347533,190132.62,11.0,72.8,1.15,2025-03,4
MB,모바일,BI0004,5G 가족 무제한,US0004,DATA004,R004,2025-06,5154,224,65,517423834,53596006,433640417,94535.59,11.0,36.0,1.15,2025-02,5
MB,모바일,BI0005,5G 청소년 스페셜,US0005,DATA005,R005,2025-06,2831,90,65,245468212,24569146,198786729,78896.46,11.0,56.2,1.15,2025-04,3
MB,모바일,BI0006,5G 시니어 케어,US0006,DATA006,R008,2025-06,1364,42,60,80472064,8500177,68774160,56652.74,11.0,27.6,1.15,2025-01,6
MB,모바일,BI0007,5G 학생 할인,US0007,DATA007,R008,2025-06,5124,144,64,387860919,39024524,315743880,69236.61,11.0,64.3,1.15,2025-03,4
MB,모바일,BI0008,5G 직장인 플랜,US0008,DATA008,R004,2025-06,2852,127,128,257192170,26886621,217537213,85702.61,11.0,46.4,1.15,2025-02,5
MB,모바일,BI0009,5G 엔터프라이즈,US0009,DATA009,R005,2025-06,1050,30,49,295726317,31222826,252621051,270327.5,11.0,101.1,1.15,2025-01,6
MB,모바일,BI0010,5G 소상공인 지원,US0010,DATA010,R002,2025-06,1995,117,36,168092784,17392288,140719428,79253.99,11.0,48.8,1.15,2025-04,3
MB,모바일,BI0011,LTE 무제한 월정액,US0011,VOICE001,R001,2025-06,3726,163,148,176599187,13545868,155777483,45443.73,8.0,-9.6,1.15,2025-01,6
MB,모바일,BI0012,LTE 프리미엄 플러스,US0012,VOICE002,R007,2025-06,3313,114,106,209791687,15538659,178694579,58627.6,8.0,-4.9,1.15,2025-01,6
MB,모바일,BI0013,LTE 가족 패키지,US0013,VOICE003,R005,2025-06,5204,192,198,253682020,19000897,218510318,45640.13,8.0,5.1,1.15,2025-01,6
MB,모바일,BI0014,LTE 비즈니스 베이직,US0014,VOICE004,R003,2025-06,2255,85,100,150022407,11019107,126719735,61081.53,8.0,15.9,1.15,2025-01,6
MB,모바일,BI0015,LTE 청소년 요금제,US0015,VOICE005,R006,2025-06,1772,135,58,48384524,3842927,44193670,27108.69,8.0,-22.6,1.15,2025-01,6
IOT,사물인터넷,BI0016,IoT 센서 월정액,US0016,IOT001,R007,2025-06,4743,291,174,158530916,9238186,144731581,32462.53,6.0,271.3,1.15,2025-01,6
IOT,사물인터넷,BI0017,스마트홈 연결료,US0017,IOT002,R004,2025-06,2120,106,36,38305941,2138625,33505131,16813.09,6.0,121.5,1.15,2025-02,5
IOT,사물인터넷,BI0018,차량용 단말 월정액,US0018,AUTO001,R004,2025-06,1485,86,38,44274257,2596146,40672954,29137.44,6.0,110.2,1.15,2025-04,3
IOT,사물인터넷,BI0019,산업용 IoT 월정액,US0019,IOT003,R003,2025-06,1210,73,51,57299059,3197251,50090279,44039.28,6.0,146.0,1.15,2025-03,4
IOT,사물인터넷,BI0020,농업 IoT 서비스,US0020,AGRI001,R003,2025-06,1447,109,55,64755168,4928145,56673678,42572.1,8.0,284.2,1.15,2025-02,5
IOT,사물인터넷,BI0021,물류 추적 서비스,US0021,TRACK001,R003,2025-06,1058,58,48,46772185,3554495,40876704,41995.46,8.0,237.5,1.15,2025-03,4
IOT,사물인터넷,BI0022,스마트미터 서비스,US0022,METER001,R001,2025-06,2880,87,57,57076214,4561333,52455331,19797.45,8.0,205.2,1.15,2025-01,6
IOT,사물인터넷,BI0023,보안카메라 연결료,US0023,CAM001,R003,2025-06,955,22,43,16590418,1273484,14645074,16668.65,8.0,90.4,1.15,2025-04,3
IOT,사물인터넷,BI0024,드론 통신 서비스,US0024,DRONE001,R003,2025-06,239,6,4,8778472,652211,7500435,34111.49,8.0,60.0,1.15,2025-05,2
IOT,사물인터넷,BI0025,스마트 팩토리,US0025,FACTORY001,R005,2025-06,853,24,11,100406564,7919937,91079285,116060.05,8.0,306.6,1.15,2025-02,5
EN,기업솔루션,BI0026,기업전용 패키지 월정액,US0026,BUSI001,R006,2025-06,1264,59,19,259889353,46552818,212073949,204609.78,18.0,46.9,1.15,2025-01,6
EN,기업솔루션,BI0027,기업 전용선 월정액,US0027,CORP001,R006,2025-06,651,35,28,181309124,30720580,139949309,262165.73,18.0,27.6,1.15,2025-01,6
EN,기업솔루션,BI0028,VPN 서비스 월정액,US0028,VPN001,R002,2025-06,750,43,19,164355575,12346446,141984129,205774.1,8.0,95.3,1.15,2025-03,4
IS,인터넷서비스,BI0029,클라우드 연결 서비스,US0029,CLOUD001,R007,2025-06,903,61,14,200642416,15100878,173660097,209037.62,8.0,168.4,1.15,2025-02,5
EN,기업솔루션,BI0030,보안솔루션 월정액,US0030,SEC001,R002,2025-06,449,9,21,86896597,6688330,76915807,186200.75,8.0,76.2,1.15,2025-01,6
EN,기업솔루션,BI0031,영상회의 서비스,US0031,CONF001,R008,2025-06,2249,105,39,423381618,31267640,359577869,173786.35,8.0,232.2,1.15,2025-02,5
IS,인터넷서비스,BI0032,서버 호스팅 서비스,US0032,HOST001,R003,2025-06,412,25,12,90569067,6661078,76602397,202095.81,8.0,101.1,1.15,2025-01,6
IS,인터넷서비스,BI0033,백업 솔루션 서비스,US0033,BACKUP001,R004,2025-06,315,16,13,37439410,2824250,32478879,112073.43,8.0,72.8,1.15,2025-03,4
EN,기업솔루션,BI0034,방화벽 서비스,US0034,FW001,R002,2025-06,280,17,9,47582037,3593472,41324929,160422.86,8.0,93.9,1.15,2025-02,5
EN,기업솔루션,BI0035,모니터링 서비스,US0035,MON001,R007,2025-06,342,17,13,23564399,1837739,21134010,67168.86,8.0,56.2,1.15,2025-04,3
BC,방송서비스,BI0036,컬러링 서비스,US0036,ADDON001,R001,2025-06,3046,91,136,9883103,760243,8742799,3119.84,8.0,-9.6,1.15,2025-01,6
BC,방송서비스,BI0037,통화대기 서비스,US0037,ADDON002,R001,2025-06,2954,182,129,7808833,610559,7021431,2583.61,8.0,-14.1,1.15,2025-01,6
BC,방송서비스,BI0038,음성사서함 서비스,US0038,ADDON003,R002,2025-06,2579,68,79,8351719,648848,7461756,3144.86,8.0,-4.9,1.15,2025-01,6
BC,방송서비스,BI0039,번호이동 서비스,US0039,PORT001,R006,2025-06,2843,120,90,6643676,523000,6014503,2299.51,8.0,27.6,1.15,2025-01,6
EN,기업솔루션,BI0040,스팸차단 서비스,US0040,SEC002,R006,2025-06,4817,132,63,34775088,2705026,31107800,7019.48,8.0,74.9,1.15,2025-02,5
