lob,lob명,청구항목id,청구항목명,단위서비스id,단위서비스명,요금유형코드,기준월,회선수,신규회선수,해지회선수,요청금액,할인금액,청구금액,ARPU,할인율,성장률,계절성_요인,출시월,서비스개월수
MB,모바일,BI0001,5G 프리미엄 월정액,US0001,DATA001,R008,2025-05,1739,59,23,213724333,15764808,181295295,113318.06,8.0,52.1,1.0,2025-02,4
MB,모바일,BI0002,5G 무제한 플러스,US0002,DATA002,R007,2025-05,3528,106,106,409413476,29903009,343884606,105948.87,8.0,57.4,1.0,2025-01,5
MB,모바일,BI0003,5G 비즈니스 프로,US0003,DATA003,R008,2025-05,1266,60,34,177683709,13399037,154088928,132296.97,8.0,44.0,1.0,2025-03,3
MB,모바일,BI0004,5G 가족 무제한,US0004,DATA004,R008,2025-05,3849,160,153,310721470,23007498,264586239,74719.08,8.0,26.0,1.0,2025-02,4
MB,모바일,BI0005,5G 청소년 스페셜,US0005,DATA005,R003,2025-05,2001,131,80,106355172,8164183,93888106,51000.64,8.0,25.0,1.0,2025-04,2
MB,모바일,BI0006,5G 시니어 케어,US0006,DATA006,R008,2025-05,1180,29,42,56721710,4518846,51966732,47869.13,8.0,21.6,1.0,2025-01,5
MB,모바일,BI0007,5G 학생 할인,US0007,DATA007,R004,2025-05,4071,110,147,213450688,15655339,180036401,48069.7,8.0,39.2,1.0,2025-03,3
MB,모바일,BI0008,5G 직장인 플랜,US0008,DATA008,R003,2025-05,2503,166,96,182737576,13502583,155279705,67432.0,8.0,33.1,1.0,2025-02,4
MB,모바일,BI0009,5G 엔터프라이즈,US0009,DATA009,R007,2025-05,732,20,28,162694163,12400641,142607373,211759.58,8.0,74.9,1.0,2025-01,5
MB,모바일,BI0010,5G 소상공인 지원,US0010,DATA010,R002,2025-05,1550,112,35,94825851,7012165,80639907,56549.72,8.0,22.0,1.0,2025-04,2
MB,모바일,BI0011,LTE 무제한 월정액,US0011,VOICE001,R005,2025-05,3278,258,40,145819474,7135716,135578623,43537.02,5.0,-7.8,1.0,2025-01,5
MB,모바일,BI0012,LTE 프리미엄 플러스,US0012,VOICE002,R008,2025-05,2469,58,61,139931360,6572428,124876135,53239.6,5.0,-3.9,1.0,2025-01,5
MB,모바일,BI0013,LTE 가족 패키지,US0013,VOICE003,R008,2025-05,4229,115,167,178876167,8597451,163351583,40659.5,5.0,4.1,1.0,2025-01,5
MB,모바일,BI0014,LTE 비즈니스 베이직,US0014,VOICE004,R007,2025-05,1876,49,31,107833353,5277082,100264563,56258.87,5.0,12.6,1.0,2025-01,5
MB,모바일,BI0015,LTE 청소년 요금제,US0015,VOICE005,R006,2025-05,1954,104,35,52102381,2494164,47389133,25528.81,5.0,-18.5,1.0,2025-01,5
IOT,사물인터넷,BI0016,IoT 센서 월정액,US0016,IOT001,R001,2025-05,3622,244,74,85008709,2456326,79421237,22605.62,3.0,185.6,1.0,2025-01,5
IOT,사물인터넷,BI0017,스마트홈 연결료,US0017,IOT002,R008,2025-05,1529,61,68,17352053,518459,16763534,11302.81,3.0,81.6,1.0,2025-02,4
IOT,사물인터넷,BI0018,차량용 단말 월정액,US0018,AUTO001,R001,2025-05,826,23,31,14765811,430974,13934858,17392.05,3.0,45.0,1.0,2025-04,2
IOT,사물인터넷,BI0019,산업용 IoT 월정액,US0019,IOT003,R001,2025-05,721,27,32,21551192,591581,19127795,27350.04,3.0,82.3,1.0,2025-03,3
IOT,사물인터넷,BI0020,농업 IoT 서비스,US0020,AGRI001,R003,2025-05,1033,40,48,26865587,1327902,25230149,25709.63,5.0,174.4,1.0,2025-02,4
IOT,사물인터넷,BI0021,물류 추적 서비스,US0021,TRACK001,R003,2025-05,658,35,31,16645389,785977,14933565,23889.88,5.0,125.0,1.0,2025-03,3
IOT,사물인터넷,BI0022,스마트미터 서비스,US0022,METER001,R006,2025-05,1959,62,49,27085370,1303783,24771892,13310.71,5.0,144.1,1.0,2025-01,5
IOT,사물인터넷,BI0023,보안카메라 연결료,US0023,CAM001,R002,2025-05,610,30,9,7194000,334667,6358689,10972.72,5.0,38.0,1.0,2025-04,2
IOT,사물인터넷,BI0024,드론 통신 서비스,US0024,DRONE001,R006,2025-05,108,3,2,2048714,93659,1779535,17344.4,5.0,0.0,1.0,2025-05,1
IOT,사물인터넷,BI0025,스마트 팩토리,US0025,FACTORY001,R007,2025-05,593,37,25,43827183,2042702,38811350,68893.85,5.0,186.3,1.0,2025-02,4
EN,기업솔루션,BI0026,기업전용 패키지 월정액,US0026,BUSI001,R006,2025-05,1016,21,12,171063730,25564633,144866254,167746.94,15.0,36.0,1.0,2025-01,5
EN,기업솔루션,BI0027,기업 전용선 월정액,US0027,CORP001,R001,2025-05,540,22,10,125316191,17363890,98395379,214369.02,15.0,21.6,1.0,2025-01,5
EN,기업솔루션,BI0028,VPN 서비스 월정액,US0028,VPN001,R007,2025-05,527,11,13,79887666,3803373,72264089,144340.54,5.0,56.2,1.0,2025-03,3
IS,인터넷서비스,BI0029,클라우드 연결 서비스,US0029,CLOUD001,R008,2025-05,610,40,25,91875263,4333501,82336526,142082.01,5.0,109.7,1.0,2025-02,4
EN,기업솔루션,BI0030,보안솔루션 월정액,US0030,SEC001,R002,2025-05,353,10,10,53438585,2657035,50483682,150540.28,5.0,57.4,1.0,2025-01,5
EN,기업솔루션,BI0031,영상회의 서비스,US0031,CONF001,R008,2025-05,1576,89,38,188249705,9109986,173089746,115608.97,5.0,146.0,1.0,2025-02,4
IS,인터넷서비스,BI0032,서버 호스팅 서비스,US0032,HOST001,R003,2025-05,313,22,12,48634089,2300692,43713152,147009.09,5.0,74.9,1.0,2025-01,5
IS,인터넷서비스,BI0033,백업 솔루션 서비스,US0033,BACKUP001,R002,2025-05,199,8,6,15851838,767125,14575381,77098.02,5.0,44.0,1.0,2025-03,3
EN,기업솔루션,BI0034,방화벽 서비스,US0034,FW001,R003,2025-05,196,13,5,24761792,1226482,23303174,125151.31,5.0,64.3,1.0,2025-02,4
EN,기업솔루션,BI0035,모니터링 서비스,US0035,MON001,R007,2025-05,238,17,11,11841917,591853,11245225,49735.62,5.0,25.0,1.0,2025-04,2
BC,방송서비스,BI0036,컬러링 서비스,US0036,ADDON001,R008,2025-05,3179,90,111,9751064,445367,8461973,2801.93,5.0,-7.8,1.0,2025-01,5
BC,방송서비스,BI0037,통화대기 서비스,US0037,ADDON002,R008,2025-05,2553,114,82,5694898,270003,5130057,2115.18,5.0,-11.5,1.0,2025-01,5
BC,방송서비스,BI0038,음성사서함 서비스,US0038,ADDON003,R002,2025-05,2258,126,97,6355020,307066,5834271,2719.81,5.0,-3.9,1.0,2025-01,5
BC,방송서비스,BI0039,번호이동 서비스,US0039,PORT001,R007,2025-05,2143,118,61,4391501,203694,3870188,1901.02,5.0,21.6,1.0,2025-01,5
EN,기업솔루션,BI0040,스팸차단 서비스,US0040,SEC002,R005,2025-05,3021,111,83,16732224,779612,14812629,5161.28,5.0,52.1,1.0,2025-02,4
BC,방송서비스,BI0041,안심귀가 서비스,US0041,SAFE001,R002,2025-05,2319,91,65,15041448,714053,13567017,6158.29,5.0,44.0,1.0,2025-03,3
BC,방송서비스,BI0042,위치정보 서비스,US0042,LOC001,R007,2025-05,2579,101,101,13909244,648297,12317662,5027.51,5.0,36.0,1.0,2025-01,5
IS,인터넷서비스,BI0043,클라우드 백업 서비스,US0043,CLOUD002,R003,2025-05,2337,166,101,15609711,766875,14570631,6562.9,5.0,46.4,1.0,2025-01,5
BC,방송서비스,BI0044,벨소리 다운로드,US0044,ADDON004,R004,2025-05,3110,212,49,2740690,133989,2545795,861.67,5.0,-28.4,1.0,2025-01,5
BC,방송서비스,BI0045,통화녹음 서비스,US0045,ADDON005,R002,2025-05,1699,116,74,7930928,392287,7453464,4617.86,5.0,40.5,1.0,2025-02,4
BC,방송서비스,BI0046,재난안전 서비스,US0046,EMRG001,R004,2025-05,1007,43,37,17705064,805797,15310157,16003.93,5.0,93.9,1.0,2025-01,5
BC,방송서비스,BI0047,응급신고 서비스,US0047,EMRG002,R006,2025-05,549,38,26,7628260,361991,6877838,13187.3,5.0,95.3,1.0,2025-02,4
IS,인터넷서비스,BI0048,교육용 태블릿 월정액,US0048,EDU001,R004,2025-05,1370,69,56,62795354,2908521,55261908,42460.17,5.0,69.0,1.0,2025-03,3
IS,인터넷서비스,BI0049,의료진 전용 서비스,US0049,MED001,R001,2025-05,601,37,26,63723226,2971733,56462943,98892.97,5.0,121.5,1.0,2025-01,5
BC,방송서비스,BI0050,택시 호출 서비스,US0050,TAXI001,R006,2025-05,783,60,16,12720941,624567,11866792,15953.2,5.0,35.0,1.0,2025-04,2
BC,방송서비스,BI0051,배달 서비스 연동,US0051,DELIV001,R001,2025-05,3563,210,124,82210200,3991975,75847544,22407.95,5.0,174.4,1.0,2025-02,4
IS,인터넷서비스,BI0052,공공 WiFi 서비스,US0052,WIFI001,R002,2025-05,3603,233,67,35477141,1743772,33131668,9679.56,5.0,74.9,1.0,2025-01,5
BC,방송서비스,BI0053,관광 안내 서비스,US0053,TOUR001,R003,2025-05,381,24,4,2579776,122026,2318499,6405.58,5.0,0.0,1.0,2025-05,1
BC,방송서비스,BI0054,번역 서비스,US0054,TRANS001,R005,2025-05,469,14,17,4090139,191443,3637430,8163.91,5.0,63.8,1.0,2025-03,3
BC,방송서비스,BI0055,날씨 알림 서비스,US0055,WEATHER001,R001,2025-05,4041,309,86,12279978,602862,11454380,2983.73,5.0,21.6,1.0,2025-01,5
BC,방송서비스,BI0056,스마트파킹 서비스 1,US0056,PARK001,R004,2025-05,493,18,5,7711763,357638,6795124,14508.65,5.0,91.1,1.0,2025-02,4
BC,방송서비스,BI0057,스마트파킹 서비스 2,US0057,PARK002,R002,2025-05,484,22,14,5668834,263537,5007216,10889.99,5.0,73.3,1.0,2025-02,4
BC,방송서비스,BI0058,스마트파킹 서비스 3,US0058,PARK003,R008,2025-05,752,22,14,13029534,620336,11786385,16498.3,5.0,84.2,1.0,2025-03,3
BC,방송서비스,BI0059,스마트파킹 서비스 4,US0059,PARK004,R006,2025-05,815,59,10,17239441,834424,15854071,20476.68,5.0,178.7,1.0,2025-02,4
BC,방송서비스,BI0060,스마트파킹 서비스 5,US0060,PARK005,R007,2025-05,934,56,14,24161973,1151725,21882778,24662.21,5.0,244.8,1.0,2025-02,4
BC,방송서비스,BI0061,스마트가로등 서비스 1,US0061,LIGHT001,R003,2025-05,2363,163,73,24975324,1165631,22146991,9865.69,5.0,135.6,1.0,2025-01,5
BC,방송서비스,BI0062,스마트가로등 서비스 2,US0062,LIGHT002,R006,2025-05,1471,58,14,9745692,464664,8828633,6317.67,5.0,72.0,1.0,2025-02,4
BC,방송서비스,BI0063,스마트가로등 서비스 3,US0063,LIGHT003,R006,2025-05,1064,25,13,6930242,323728,6150838,6085.12,5.0,50.0,1.0,2025-01,5
BC,방송서비스,BI0064,스마트가로등 서비스 4,US0064,LIGHT004,R006,2025-05,2053,156,62,19140592,881845,16755056,8590.79,5.0,91.2,1.0,2025-01,5
