lob,lob명,청구항목id,청구항목명,단위서비스id,단위서비스명,요금유형코드,기준월,회선수,신규회선수,해지회선수,요청금액,할인금액,청구금액,ARPU,할인율,성장률,계절성_요인,출시월,서비스개월수
MB,모바일,BI0002,5G 무제한 플러스,US0002,DATA002,R002,2025-01,1845,36,78,106287393,8325351,95741544,56404.82,8.0,0.0,0.85,2025-01,1
MB,모바일,BI0006,5G 시니어 케어,US0006,DATA006,R004,2025-01,809,19,24,27859365,2160196,24842257,33377.57,8.0,0.0,0.85,2025-01,1
MB,모바일,BI0009,5G 엔터프라이즈,US0009,DATA009,R006,2025-01,355,8,10,40498548,2963488,34080114,104348.18,8.0,0.0,0.85,2025-01,1
MB,모바일,BI0011,LTE 무제한 월정액,US0011,VOICE001,R004,2025-01,2979,221,94,122013475,5641040,107179777,37872.04,5.0,0.0,0.85,2025-01,1
MB,모바일,BI0012,LTE 프리미엄 플러스,US0012,VOICE002,R004,2025-01,2565,204,78,123725215,5970496,113439429,46553.58,5.0,0.0,0.85,2025-01,1
MB,모바일,BI0013,LTE 가족 패키지,US0013,VOICE003,R003,2025-01,3856,101,78,134106610,6142052,116699004,31857.12,5.0,0.0,0.85,2025-01,1
MB,모바일,BI0014,LTE 비즈니스 베이직,US0014,VOICE004,R003,2025-01,1230,77,33,53171873,2478134,47084565,40294.88,5.0,0.0,0.85,2025-01,1
MB,모바일,BI0015,LTE 청소년 요금제,US0015,VOICE005,R005,2025-01,2039,151,46,60682736,2832819,53823563,27786.36,5.0,0.0,0.85,2025-01,1
IOT,사물인터넷,BI0016,IoT 센서 월정액,US0016,IOT001,R003,2025-01,1085,51,45,8242474,230192,7442899,7071.97,3.0,0.0,0.85,2025-01,1
IOT,사물인터넷,BI0022,스마트미터 서비스,US0022,METER001,R004,2025-01,619,42,28,2973559,139350,2647667,4502.45,5.0,0.0,0.85,2025-01,1
EN,기업솔루션,BI0026,기업전용 패키지 월정액,US0026,BUSI001,R007,2025-01,639,31,26,67024526,9723650,55100689,101446.54,15.0,0.0,0.85,2025-01,1
EN,기업솔루션,BI0027,기업 전용선 월정액,US0027,CORP001,R003,2025-01,365,9,10,53776874,7999480,45330393,146109.24,15.0,0.0,0.85,2025-01,1
EN,기업솔루션,BI0030,보안솔루션 월정액,US0030,SEC001,R001,2025-01,173,4,6,15651358,733329,13933269,84778.03,5.0,0.0,0.85,2025-01,1
IS,인터넷서비스,BI0032,서버 호스팅 서비스,US0032,HOST001,R005,2025-01,151,3,4,11699076,567741,10787087,75197.54,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0036,컬러링 서비스,US0036,ADDON001,R008,2025-01,2719,161,113,7774290,356685,6777019,2623.65,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0037,통화대기 서비스,US0037,ADDON002,R003,2025-01,2148,152,45,5020486,230398,4377565,2145.23,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0038,음성사서함 서비스,US0038,ADDON003,R006,2025-01,2030,120,63,4687896,230396,4377527,2269.91,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0039,번호이동 서비스,US0039,PORT001,R007,2025-01,1509,83,73,1934504,91444,1737454,1211.99,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0042,위치정보 서비스,US0042,LOC001,R002,2025-01,1627,109,59,5182731,254118,4828245,3123.76,5.0,0.0,0.85,2025-01,1
IS,인터넷서비스,BI0043,클라우드 백업 서비스,US0043,CLOUD002,R001,2025-01,1196,54,19,5161485,237839,4518947,3977.25,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0044,벨소리 다운로드,US0044,ADDON004,R008,2025-01,3856,291,117,4182714,201103,3820968,1043.07,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0046,재난안전 서비스,US0046,EMRG001,R003,2025-01,412,25,13,3213566,152890,2904910,7421.85,5.0,0.0,0.85,2025-01,1
IS,인터넷서비스,BI0049,의료진 전용 서비스,US0049,MED001,R001,2025-01,229,10,4,9079841,447794,8508105,39108.73,5.0,0.0,0.85,2025-01,1
IS,인터넷서비스,BI0052,공공 WiFi 서비스,US0052,WIFI001,R005,2025-01,1701,54,54,7608452,379458,7209703,4461.59,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0055,날씨 알림 서비스,US0055,WEATHER001,R001,2025-01,2871,165,67,6678525,305873,5811601,2130.78,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0061,스마트가로등 서비스 1,US0061,LIGHT001,R008,2025-01,757,42,28,2607205,125664,2387622,3320.06,5.0,0.0,0.85,2025-01,1
