lob,lob명,청구항목id,청구항목명,단위서비스id,단위서비스명,요금유형코드,기준월,회선수,신규회선수,해지회선수,요청금액,할인금액,청구금액,ARPU,할인율,성장률,계절성_요인,출시월,서비스개월수
MB,모바일,BI0001,5G 프리미엄 월정액,US0001,DATA001,R005,2025-02,1178,85,58,83474287,6636481,76319533,70421.07,8.0,0.0,0.9,2025-02,1
MB,모바일,BI0002,5G 무제한 플러스,US0002,DATA002,R006,2025-02,2278,162,109,162303485,12716073,146234848,69776.52,8.0,12.0,0.9,2025-01,2
MB,모바일,BI0004,5G 가족 무제한,US0004,DATA004,R006,2025-02,3102,78,40,172092813,13249029,152363834,53389.06,8.0,0.0,0.9,2025-02,1
MB,모바일,BI0006,5G 시니어 케어,US0006,DATA006,R002,2025-02,802,23,29,32295599,2368124,27233438,36909.68,8.0,5.0,0.9,2025-01,2
MB,모바일,BI0008,5G 직장인 플랜,US0008,DATA008,R006,2025-02,1502,103,22,76128815,5664590,65142787,47142.06,8.0,0.0,0.9,2025-02,1
MB,모바일,BI0009,5G 엔터프라이즈,US0009,DATA009,R006,2025-02,490,10,18,63634546,4783536,55010674,122029.0,8.0,15.0,0.9,2025-01,2
MB,모바일,BI0011,LTE 무제한 월정액,US0011,VOICE001,R007,2025-02,2961,199,108,123268504,5859638,111333139,39578.78,5.0,-2.0,0.9,2025-01,2
MB,모바일,BI0012,LTE 프리미엄 플러스,US0012,VOICE002,R003,2025-02,2706,158,54,136530849,6483559,123187638,47919.88,5.0,-1.0,0.9,2025-01,2
MB,모바일,BI0013,LTE 가족 패키지,US0013,VOICE003,R008,2025-02,3628,282,115,119969171,5955029,113145552,32828.16,5.0,1.0,0.9,2025-01,2
MB,모바일,BI0014,LTE 비즈니스 베이직,US0014,VOICE004,R008,2025-02,1365,98,59,64284534,3015233,57289436,44179.25,5.0,3.0,0.9,2025-01,2
MB,모바일,BI0015,LTE 청소년 요금제,US0015,VOICE005,R008,2025-02,1997,98,61,55533001,2662926,50595609,26669.27,5.0,-5.0,0.9,2025-01,2
IOT,사물인터넷,BI0016,IoT 센서 월정액,US0016,IOT001,R002,2025-02,1539,123,53,15239986,447698,14475590,9696.74,3.0,30.0,0.9,2025-01,2
IOT,사물인터넷,BI0017,스마트홈 연결료,US0017,IOT002,R003,2025-02,780,40,21,4980622,136623,4417480,5838.59,3.0,0.0,0.9,2025-02,1
